Drop Off Location,Stake,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Completed More Than One Route,Ward/Branch,Comment Sentiments,Comments or Feedback,Routes Completed,Doors in Route,Time Spent
Riverbend Stake Centre,Riverbend Stake,1,1,125,150,Yes,Terwillegar Park Ward,Neutral,No Comments,3,650,63
Riverbend Stake Centre,Riverbend Stake,2,2,40,75,No,Rutherford Ward,Neutral,No Comments,2,215,63
Riverbend Stake Centre,Riverbend Stake,3,3,40,60,Yes,Terwillegar Park Ward,Neutral,No Comments,2,280,60
Riverbend Stake Centre,Riverbend Stake,2,0,20,70,No,Woodbend Ward,Neutral,No Comments,2,160,75
Riverbend Stake Centre,Riverbend Stake,4,0,65,60,No,Rabbit Hill Ward,Neutral,No Comments,2,300,63
Gateway Stake Centre,Gateway Stake,2,2,52,125,Yes,Crawford Plains Ward,Negative,"1-95,2-99,3-130 3 routes ",3,324,105
Bearspaw Chapel,Gateway Stake,0,2,32,120,Yes,Lee Ridge Ward,Neutral,No Comments,2,163,63
Bearspaw Chapel,Gateway Stake,0,2,20,60,Yes,Lee Ridge Ward,Neutral,No Comments,2,168,65
Gateway Stake Centre,Gateway Stake,2,2,37,140,Yes,Crawford Plains Ward,Negative,"Route1:23 min, r 2: 15, r3: 11",3,321,140
Riverbend Stake Centre,Riverbend Stake,4,0,56,120,Yes,Rabbit Hill Ward,Neutral,No Comments,2,200,103
Riverbend Stake Centre,Riverbend Stake,2,0,35,90,Yes,Rutherford Ward,Neutral,No Comments,2,240,75
North Stake Centre,Edmonton North Stake,1,3,22,40,No,Namao Ward,Neutral,No Comments,2,172,40
Gateway Stake Centre,Gateway Stake,2,5,39,45,Yes,Ellerslie Ward,Negative,"1-216,2-250",2,466,45
Bearspaw Chapel,Gateway Stake,1,0,18,55,Yes,Lee Ridge Ward,Neutral,No Comments,2,40,120
Bearspaw Chapel,Gateway Stake,3,0,22,90,Yes,Lee Ridge Ward,Neutral,No Comments,2,158,63
Bearspaw Chapel,Gateway Stake,2,4,41,25,No,Blackmud Creek Ward,Neutral,No Comments,2,260,70
Riverbend Stake Centre,Riverbend Stake,1,0,25,80,Yes,Rabbit Hill Ward,Neutral,No Comments,2,273,63
Londonderry Chapel,Bonnie Doon Stake,2,0,1,30,No,Clareview Ward,Negative,Route: 136,2,100,63
Gateway Stake Centre,Gateway Stake,1,2,10,30,No,Ellerslie Ward,Neutral,No Comments,2,205,63
Bearspaw Chapel,Gateway Stake,2,3,42,30,No,Blackmud Creek Ward,Neutral,No Comments,2,95,53
Gateway Stake Centre,Gateway Stake,2,5,25,45,No,Ellerslie Ward,Negative,Yellow bags were better,2,200,45
North Stake Centre,Edmonton North Stake,2,0,70,150,Yes,Griesbach Ward,Neutral,No Comments,3,400,120
North Stake Centre,Edmonton North Stake,2,0,69,150,Yes,Griesbach Ward,Neutral,No Comments,3,400,145
